,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
474,256,15,0.1,4,False,0.0075,2,adam,15,0.01,0.2823,0.1844
802,256,45,0.5,2,False,0.005,2,adam,45,0.01,0.2736,0.1034
95,128,15,0.5,2,False,0.0075,2,adam,45,0.05,0.2726,0.1573
9,128,15,0.1,2,False,0.005,2,adam,40,0.05,0.2705,0.1404
437,256,15,0.1,2,False,0.005,1,adam,45,0.05,0.2703,0.1753
508,256,15,0.5,2,False,0.005,1,adam,45,0.01,0.2666,0.1611
511,256,15,0.5,2,False,0.005,2,adam,15,0.05,0.2545,0.1523
727,256,45,0.1,2,False,0.005,2,adam,15,0.05,0.2545,0.1017
514,256,15,0.5,2,False,0.005,2,adam,45,0.01,0.2467,0.1503
729,256,45,0.1,2,False,0.005,2,adam,40,0.05,0.2414,0.0789
81,128,15,0.5,2,False,0.005,2,adam,40,0.05,0.2319,0.1282
8,128,15,0.1,2,False,0.005,2,adam,40,0.01,0.2242,0.1369
442,256,15,0.1,2,False,0.005,2,adam,45,0.01,0.2174,0.1258
509,256,15,0.5,2,False,0.005,1,adam,45,0.05,0.2135,0.1507
16,128,15,0.1,2,False,0.0075,1,adam,45,0.01,0.2098,0.1163
512,256,15,0.5,2,False,0.005,2,adam,40,0.01,0.206,0.1404
671,256,30,0.5,2,False,0.0075,2,adam,45,0.05,0.205,0.1209
803,256,45,0.5,2,False,0.005,2,adam,45,0.05,0.2048,0.0609
435,256,15,0.1,2,False,0.005,1,adam,40,0.05,0.1865,0.0964
506,256,15,0.5,2,False,0.005,1,adam,40,0.01,0.178,0.181
227,128,30,0.5,2,False,0.005,2,adam,45,0.05,0.171,0.0749
525,256,15,0.5,2,False,0.0075,2,adam,40,0.05,0.1674,0.1285
91,128,15,0.5,2,False,0.0075,2,adam,15,0.05,0.1637,0.1237
587,256,30,0.1,2,False,0.005,2,adam,45,0.05,0.1521,0.0771
453,256,15,0.1,2,False,0.0075,2,adam,40,0.05,0.1507,0.0793
657,256,30,0.5,2,False,0.005,2,adam,40,0.05,0.1406,0.0717
441,256,15,0.1,2,False,0.005,2,adam,40,0.05,0.1383,0.0886
659,256,30,0.5,2,False,0.005,2,adam,45,0.05,0.138,0.0642
11,128,15,0.1,2,False,0.005,2,adam,45,0.05,0.1312,0.0812
537,256,15,0.5,4,False,0.005,2,adam,40,0.05,0.1262,0.0777
513,256,15,0.5,2,False,0.005,2,adam,40,0.05,0.1247,0.0916
507,256,15,0.5,2,False,0.005,1,adam,40,0.05,0.1197,0.1171
527,256,15,0.5,2,False,0.0075,2,adam,45,0.05,0.1108,0.0894
515,256,15,0.5,2,False,0.005,2,adam,45,0.05,0.0186,0.0087
83,128,15,0.5,2,False,0.005,2,adam,45,0.05,0.0167,0.0078
443,256,15,0.1,2,False,0.005,2,adam,45,0.05,0.0,0.0
