,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
177,512,75,64,0.5,2048,0.005,sgd,40,0.05,0.6134,0.1031
356,1024,40,256,0.5,512,0.005,adam,40,0.01,0.6129,0.2081
501,1024,75,256,0.5,2048,0.005,adam,40,0.05,0.6127,0.1266
473,1024,75,256,0.1,2048,0.05,sgd,40,0.05,0.6124,0.125
225,512,75,256,0.5,512,0.005,sgd,40,0.05,0.6124,0.1029
264,1024,40,64,0.1,512,0.05,sgd,40,0.01,0.6123,0.1745
151,512,75,64,0.1,2048,0.005,adam,45,0.05,0.6115,0.0966
84,512,40,256,0.1,2048,0.005,adam,40,0.01,0.6114,0.2541
247,512,75,256,0.5,2048,0.005,adam,45,0.05,0.6109,0.1108
149,512,75,64,0.1,2048,0.005,adam,40,0.05,0.6107,0.0965
60,512,40,64,0.5,2048,0.05,adam,40,0.01,0.6103,0.1262
295,1024,40,64,0.5,512,0.005,adam,45,0.05,0.6098,0.1808
170,512,75,64,0.5,512,0.05,sgd,45,0.01,0.6098,0.1132
224,512,75,256,0.5,512,0.005,sgd,40,0.01,0.6097,0.0971
164,512,75,64,0.5,512,0.005,adam,40,0.01,0.6094,0.1104
215,512,75,256,0.1,2048,0.005,adam,45,0.05,0.6093,0.0984
494,1024,75,256,0.5,512,0.05,adam,45,0.01,0.6092,0.1042
141,512,75,64,0.1,512,0.05,adam,40,0.05,0.609,0.119
469,1024,75,256,0.1,2048,0.005,adam,40,0.05,0.6089,0.1068
382,1024,40,256,0.5,2048,0.05,adam,45,0.01,0.6083,0.145
161,512,75,64,0.5,512,0.005,sgd,40,0.05,0.6082,0.1017
133,512,75,64,0.1,512,0.005,adam,40,0.05,0.6081,0.1058
156,512,75,64,0.1,2048,0.05,adam,40,0.01,0.608,0.0948
169,512,75,64,0.5,512,0.05,sgd,40,0.05,0.6075,0.1082
281,1024,40,64,0.1,2048,0.05,sgd,40,0.05,0.6068,0.1751
252,512,75,256,0.5,2048,0.05,adam,40,0.01,0.6068,0.0945
453,1024,75,256,0.1,512,0.005,adam,40,0.05,0.6063,0.1019
496,1024,75,256,0.5,2048,0.005,sgd,40,0.01,0.6061,0.107
351,1024,40,256,0.1,2048,0.05,adam,45,0.05,0.6059,0.2095
254,512,75,256,0.5,2048,0.05,adam,45,0.01,0.6059,0.1008
372,1024,40,256,0.5,2048,0.005,adam,40,0.01,0.6054,0.2352
421,1024,75,64,0.5,512,0.005,adam,40,0.05,0.6045,0.1008
167,512,75,64,0.5,512,0.005,adam,45,0.05,0.604,0.0939
